origin,time,path,method,size,status_code
haraway.ucet.ufl.edu,1995-08-01 00:03:48,/images/shuttle-patch-logo.gif,GET,891,200
haraway.ucet.ufl.edu,1995-08-01 00:03:49,/shuttle/technology/images/srb_mod_compare_3-small.gif,GET,55666,200
in24.inetnebr.com,1995-08-01 00:03:51,/shuttle/missions/sts-68/news/sts-68-mcc-13.txt,GET,1909,200
ai.asu.edu,1995-08-01 00:03:52,/facts/facts.html,GET,4722,200
rpgopher.aist.go.jp,1995-08-01 00:03:53,/shuttle/missions/sts-70/movies/sts-70-crew-suitup.mpg,GET,90112,200
gw1.att.com,1995-08-01 00:03:53,/shuttle/missions/sts-73/news,GET,0,302
gw1.att.com,1995-08-01 00:03:54,/shuttle/missions/sts-73/news/,GET,519,200
ai.asu.edu,1995-08-01 00:03:55,/facts/faq01.html,GET,19320,200
gw1.att.com,1995-08-01 00:03:56,/icons/menu.xbm,GET,0,304
gw1.att.com,1995-08-01 00:03:56,/icons/text.xbm,GET,0,304
gw1.att.com,1995-08-01 00:03:56,/icons/blank.xbm,GET,0,304
async59.ts-p-caps.caps.maine.edu,1995-08-01 00:04:02,/software/winvn/winvn.html,GET,9866,200
rpgopher.aist.go.jp,1995-08-01 00:04:05,"/cgi-bin/imagemap/countdown70?51,156",GET,111,302
rpgopher.aist.go.jp,1995-08-01 00:04:06,/shuttle/missions/sts-70/mission-sts-70.html,GET,20224,200
www-d3.proxy.aol.com,1995-08-01 00:04:07,/shuttle/missions/sts-71/movies/movies.html,GET,3381,200
pm9.j51.com,1995-08-01 00:04:08,/facilities/lc39a.html,GET,7008,200
piweba3y.prodigy.com,1995-08-01 00:04:08,/,GET,7280,200
async59.ts-p-caps.caps.maine.edu,1995-08-01 00:04:10,/software/winvn/winvn.gif,GET,25218,200
pm9.j51.com,1995-08-01 00:04:11,/images/lc39a-logo.gif,GET,13116,200
rpgopher.aist.go.jp,1995-08-01 00:04:13,/images/launch-logo.gif,GET,0,304
rpgopher.aist.go.jp,1995-08-01 00:04:13,/history/apollo/images/apollo-logo1.gif,GET,0,304
pm9.j51.com,1995-08-01 00:04:14,/images/kscmap-tiny.gif,GET,2537,200
rpgopher.aist.go.jp,1995-08-01 00:04:14,/shuttle/resources/orbiters/discovery.html,GET,6849,200
rpgopher.aist.go.jp,1995-08-01 00:04:17,/shuttle/resources/orbiters/discovery-logo.gif,GET,4179,200
rpgopher.aist.go.jp,1995-08-01 00:04:17,/images/ksclogosmall.gif,GET,3635,200
async59.ts-p-caps.caps.maine.edu,1995-08-01 00:04:18,/images/construct.gif,GET,1414,200
rpgopher.aist.go.jp,1995-08-01 00:04:18,/shuttle/resources/orbiters/orbiters-logo.gif,GET,1932,200
in24.inetnebr.com,1995-08-01 00:04:19,/shuttle/missions/sts-68/news/sts-68-mcc-14.txt,GET,1418,200
async59.ts-p-caps.caps.maine.edu,1995-08-01 00:04:20,/software/winvn/bluemarb.gif,GET,4441,200
uplherc.upl.com,1995-08-01 00:04:21,/shuttle/missions/sts-71/images/KSC-95EC-0908.jpg,GET,54279,200
piweba3y.prodigy.com,1995-08-01 00:04:22,/images/ksclogo-medium.gif,GET,5866,200
piweba1y.prodigy.com,1995-08-01 00:04:22,/history/apollo/images/apollo.gif,GET,28847,200
rpgopher.aist.go.jp,1995-08-01 00:04:25,/shuttle/resources/orbiters/endeavour.html,GET,6168,200
rpgopher.aist.go.jp,1995-08-01 00:04:28,/shuttle/resources/orbiters/endeavour-logo.gif,GET,5052,200
haraway.ucet.ufl.edu,1995-08-01 00:04:29,/ksc.html,GET,7280,200
haraway.ucet.ufl.edu,1995-08-01 00:04:30,/images/ksclogo-medium.gif,GET,5866,200
haraway.ucet.ufl.edu,1995-08-01 00:04:30,/images/NASA-logosmall.gif,GET,786,200
haraway.ucet.ufl.edu,1995-08-01 00:04:30,/images/MOSAIC-logosmall.gif,GET,363,200
haraway.ucet.ufl.edu,1995-08-01 00:04:30,/images/USA-logosmall.gif,GET,234,200
haraway.ucet.ufl.edu,1995-08-01 00:04:31,/images/WORLD-logosmall.gif,GET,669,200
async59.ts-p-caps.caps.maine.edu,1995-08-01 00:04:32,/software/winvn/wvsmall.gif,GET,13372,200
piweba3y.prodigy.com,1995-08-01 00:04:37,/images/NASA-logosmall.gif,GET,786,200
haraway.ucet.ufl.edu,1995-08-01 00:04:42,/shuttle/countdown/,GET,4324,200
haraway.ucet.ufl.edu,1995-08-01 00:04:43,/shuttle/countdown/count70.gif,GET,46573,200
133.43.96.45,1995-08-01 00:04:43,/shuttle/missions/sts-49/mission-sts-49.html,GET,9271,200
async59.ts-p-caps.caps.maine.edu,1995-08-01 00:04:46,/images/KSC-logosmall.gif,GET,1204,200
haraway.ucet.ufl.edu,1995-08-01 00:04:47,"/cgi-bin/imagemap/countdown70?199,165",GET,97,302
rpgopher.aist.go.jp,1995-08-01 00:04:47,"/cgi-bin/imagemap/countdown70?54,211",GET,110,302
haraway.ucet.ufl.edu,1995-08-01 00:04:47,/shuttle/countdown/lps/fr.html,GET,1879,200
haraway.ucet.ufl.edu,1995-08-01 00:04:48,/shuttle/countdown/lps/back.gif,GET,1289,200
haraway.ucet.ufl.edu,1995-08-01 00:04:48,/shuttle/countdown/lps/fr.gif,GET,30232,200
rpgopher.aist.go.jp,1995-08-01 00:04:49,/shuttle/missions/sts-70/images/images.html,GET,8657,200
piweba3y.prodigy.com,1995-08-01 00:04:49,/images/MOSAIC-logosmall.gif,GET,363,200
async59.ts-p-caps.caps.maine.edu,1995-08-01 00:04:50,/images/MOSAIC-logosmall.gif,GET,363,200
piweba3y.prodigy.com,1995-08-01 00:04:51,/images/USA-logosmall.gif,GET,234,200
async59.ts-p-caps.caps.maine.edu,1995-08-01 00:04:53,/images/USA-logosmall.gif,GET,234,200
piweba4y.prodigy.com,1995-08-01 00:04:53,/history/apollo/apollo-13/apollo-13.html,GET,18556,200
ppp8.montrealnet.ca,1995-08-01 00:04:53,/shuttle/missions/missions.html,GET,8677,200
133.43.96.45,1995-08-01 00:04:54,/shuttle/missions/sts-49/sts-49-patch-small.gif,GET,11628,200
haraway.ucet.ufl.edu,1995-08-01 00:04:55,"/cgi-bin/imagemap/fr?264,412",GET,91,302
haraway.ucet.ufl.edu,1995-08-01 00:04:55,/shuttle/countdown/lps/bkup-intg/bkup-intg.html,GET,4167,200
ppp8.montrealnet.ca,1995-08-01 00:04:56,/images/launchmedium.gif,GET,11853,200
haraway.ucet.ufl.edu,1995-08-01 00:04:56,/shuttle/countdown/lps/images/BKUP-INT.gif,GET,9467,200
async59.ts-p-caps.caps.maine.edu,1995-08-01 00:04:56,/images/WORLD-logosmall.gif,GET,669,200
uplherc.upl.com,1995-08-01 00:04:57,/shuttle/missions/sts-71/images/KSC-95EC-0873.jpg,GET,75147,200
134.50.205.24,1995-08-01 00:04:57,/shuttle/missions/100th.html,GET,32303,200
piweba3y.prodigy.com,1995-08-01 00:04:58,/images/WORLD-logosmall.gif,GET,669,200
ppp8.montrealnet.ca,1995-08-01 00:05:01,/images/KSC-logosmall.gif,GET,1204,200
rpgopher.aist.go.jp,1995-08-01 00:05:03,/shuttle/missions/sts-70/images/KSC-95EC-0575.gif,GET,61570,200
ppp8.montrealnet.ca,1995-08-01 00:05:07,/images/NASA-logosmall.gif,GET,786,200
piweba3y.prodigy.com,1995-08-01 00:05:08,/images/ksclogo-medium.gif,GET,5866,200
slip4086.sirius.com,1995-08-01 00:05:10,/software/winvn/winvn.html,GET,9866,200
slip4086.sirius.com,1995-08-01 00:05:12,/images/construct.gif,GET,1414,200
slip4086.sirius.com,1995-08-01 00:05:12,/software/winvn/bluemarb.gif,GET,4441,200
133.43.96.45,1995-08-01 00:05:14,/shuttle/missions/sts-57/mission-sts-57.html,GET,11508,200
slip4086.sirius.com,1995-08-01 00:05:15,/software/winvn/wvsmall.gif,GET,13372,200
